group_size,groups_per_row,number_of_scales,average_scale,maximum_scale,mse,zeroed_values,zeroed_percent,mse_improvement_vs_2048,zeroed_percentage_point_reduction
2048,1,2048,0.017158593982458115,0.2265625,2.8498921892605722e-05,2566454,61.18903160095215,1.0,0.0
512,4,8192,0.013212763704359531,0.2265625,1.833470378187485e-05,2240495,53.41756343841553,1.5543704567934673,7.771468162536621
256,8,16384,0.01139548048377037,0.2265625,1.4029414160177112e-05,2063171,49.18982982635498,2.0313693478021855,11.999201774597168
128,16,32768,0.009641068987548351,0.2265625,1.0377522812632378e-05,1863774,44.435834884643555,2.746216260581425,16.753196716308594
64,32,65536,0.007999615743756294,0.2265625,7.368383194261696e-06,1649900,39.3366813659668,3.867730700379418,21.85235023498535
32,64,131072,0.006403280422091484,0.2265625,4.923893357045017e-06,1394618,33.25028419494629,5.787883657518695,27.93874740600586
16,128,262144,0.0050109317526221275,0.2265625,3.1070517252373975e-06,1130221,26.946568489074707,9.172335838866099,34.24246311187744
8,256,524288,0.003807174041867256,0.2265625,1.83162489975075e-06,860163,20.50788402557373,15.559365837668997,40.68114757537842
