layer,matrix_type,tensor_key,method,group_size,row_width,num_weights,number_of_scales,mse,zeroed_percent,average_scale,maximum_scale,mse_improvement_vs_global,zeroed_point_reduction
0,down_proj,model.layers.0.mlp.down_proj.weight,global,11534336,5632,11534336,1,0.00024673083680681884,97.46080745350231,0.0747767835855484,0.0747767835855484,1.0,0.0
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,512,5632,11534336,22528,6.047873739589704e-06,19.789834456010297,0.008160988800227642,0.0747767835855484,40.79629427309397,77.67097299749202
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,256,5632,11534336,45056,5.170711119717453e-06,18.417739868164062,0.0075760213658213615,0.0747767835855484,47.71700276698133,79.04306758533825
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,128,5632,11534336,90112,4.330408501118654e-06,16.975515538995918,0.006968396715819836,0.0747767835855484,56.976342241865176,80.48529191450639
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,64,5632,11534336,180224,3.549210077835596e-06,15.459043329412287,0.006340248975902796,0.0747767835855484,69.51711265208678,82.00176412409003
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,32,5632,11534336,360448,2.8152630875410978e-06,13.832950592041016,0.005682250950485468,0.0747767835855484,87.64041907796194,83.6278568614613
0,down_proj,model.layers.0.mlp.down_proj.weight,grouped,16,5632,11534336,720896,2.1233665847830707e-06,12.070950594815342,0.004986952990293503,0.0747767835855484,116.19794649449359,85.38985685868697
0,gate_proj,model.layers.0.mlp.gate_proj.weight,global,11534336,2048,11534336,1,0.00023547840828541666,96.60261327570134,0.0705915167927742,0.0705915167927742,1.0,0.0
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,512,2048,11534336,22528,6.9312095547502395e-06,21.553238955411043,0.008714844472706318,0.0705915167927742,33.97363857279914,75.0493743202903
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,256,2048,11534336,45056,5.589233751379652e-06,19.42182020707564,0.007858933880925179,0.0705915167927742,42.13071393324549,77.1807930686257
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,128,2048,11534336,90112,4.4745797822542954e-06,17.418419231068004,0.007061883341521025,0.0705915167927742,52.62581510319669,79.18419404463334
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,64,2048,11534336,180224,3.5447810660116374e-06,15.537079897793857,0.006315198726952076,0.0705915167927742,66.42960563721415,81.06553337790749
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,32,2048,11534336,360448,2.7682099243975244e-06,13.762829520485617,0.0056133088655769825,0.0705915167927742,85.0652279691781,82.83978375521573
0,gate_proj,model.layers.0.mlp.gate_proj.weight,grouped,16,2048,11534336,720896,2.075948486890411e-06,11.954905770041726,0.004912705160677433,0.0705915167927742,113.43172037864133,84.64770750565961
0,k_proj,model.layers.0.self_attn.k_proj.weight,global,524288,2048,524288,1,0.0007741155568510294,99.75242614746094,0.4441964328289032,0.4441964328289032,1.0,0.0
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,512,2048,524288,1024,8.932080527301878e-05,67.4783706665039,0.032295603305101395,0.4441964328289032,8.666688063154613,32.27405548095703
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,256,2048,524288,2048,6.708040746161714e-05,62.30602264404297,0.02696346491575241,0.4441964328289032,11.540114112961701,37.44640350341797
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,128,2048,524288,4096,4.608592644217424e-05,55.636024475097656,0.02156401425600052,0.4441964328289032,16.797222419350547,44.11640167236328
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,64,2048,524288,8192,3.220693179173395e-05,49.4659423828125,0.01749119907617569,0.4441964328289032,24.035681568702223,50.28648376464844
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,32,2048,524288,16384,2.0857261915807612e-05,41.29142761230469,0.013451268896460533,0.4441964328289032,37.11491757527057,58.46099853515625
0,k_proj,model.layers.0.self_attn.k_proj.weight,grouped,16,2048,524288,32768,1.273454927286366e-05,33.20655822753906,0.010117679834365845,0.4441964328289032,60.78861059500628,66.54586791992188
0,o_proj,model.layers.0.self_attn.o_proj.weight,global,4194304,2048,4194304,1,5.5371921916957945e-05,99.0990400314331,0.0544084832072258,0.0544084832072258,1.0,0.0
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,512,2048,4194304,8192,1.9878555121977115e-06,26.795268058776855,0.004250315949320793,0.0544084832072258,27.855103943515726,72.30377197265625
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,256,2048,4194304,16384,1.6211693036893848e-06,23.882675170898438,0.003813809948042035,0.0544084832072258,34.15554550098191,75.21636486053467
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,128,2048,4194304,32768,1.3015784361414262e-06,20.86641788482666,0.003374190768226981,0.0544084832072258,42.54213221379873,78.23262214660645
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,64,2048,4194304,65536,1.005986746349663e-06,17.81489849090576,0.002935408614575863,0.0544084832072258,55.04239704735797,81.28414154052734
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,32,2048,4194304,131072,7.719897325841885e-07,15.331768989562988,0.002561358967795968,0.0544084832072258,71.72624139909713,83.76727104187012
0,o_proj,model.layers.0.self_attn.o_proj.weight,grouped,16,2048,4194304,262144,5.6334909004363e-07,12.879300117492676,0.0021947065833956003,0.0544084832072258,98.29060327881159,86.21973991394043
0,q_proj,model.layers.0.self_attn.q_proj.weight,global,4194304,2048,4194304,1,0.00021798070520162582,99.83193874359131,0.2265625,0.2265625,1.0,0.0
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,512,2048,4194304,8192,1.833470378187485e-05,53.41756343841553,0.013212763704359531,0.2265625,11.88896792633842,46.41437530517578
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,256,2048,4194304,16384,1.4029414160177112e-05,49.18982982635498,0.01139548048377037,0.2265625,15.537406103554218,50.64210891723633
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,128,2048,4194304,32768,1.0377522812632378e-05,44.435834884643555,0.009641068987548351,0.2265625,21.005080801776867,55.396103858947754
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,64,2048,4194304,65536,7.368383194261696e-06,39.3366813659668,0.007999615743756294,0.2265625,29.583247702343098,60.49525737762451
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,32,2048,4194304,131072,4.923893357045017e-06,33.25028419494629,0.006403280422091484,0.2265625,44.2699890909991,66.58165454864502
0,q_proj,model.layers.0.self_attn.q_proj.weight,grouped,16,2048,4194304,262144,3.1070517252373975e-06,26.946568489074707,0.0050109317526221275,0.2265625,70.15676740462722,72.8853702545166
0,up_proj,model.layers.0.mlp.up_proj.weight,global,11534336,2048,11534336,1,4.9551890697330236e-05,54.016659476540305,0.0244140625,0.0244140625,1.0,0.0
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,512,2048,11534336,22528,5.817704732180573e-06,19.68520771373402,0.008201838470995426,0.0244140625,8.517429635649,34.33145176280628
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,256,2048,11534336,45056,4.955737495038193e-06,18.190522627397016,0.007580536883324385,0.0244140625,9.998893352794173,35.82613684914329
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,128,2048,11534336,90112,4.16312514062156e-06,16.68682965365323,0.006958106532692909,0.0244140625,11.90257055062536,37.32982982288708
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,64,2048,11534336,180224,3.432100584177533e-06,15.163178877397018,0.006329841911792755,0.0244140625,14.437773451562412,38.85348059914329
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,32,2048,11534336,360448,2.749234226939734e-06,13.581674749200994,0.0056864540092647076,0.0244140625,18.023888329256007,40.43498472733931
0,up_proj,model.layers.0.mlp.up_proj.weight,grouped,16,2048,11534336,720896,2.0969659999536816e-06,11.88155087557706,0.005009410437196493,0.0244140625,23.63027855407515,42.13510860096324
0,v_proj,model.layers.0.self_attn.v_proj.weight,global,524288,2048,524288,1,7.444320544891525e-06,40.39649963378906,0.009626115672290325,0.009626115672290325,1.0,0.0
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,512,2048,524288,1024,2.5147744509013137e-06,24.86419677734375,0.005426457151770592,0.009626115672290325,2.960233885875302,15.532302856445312
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,256,2048,524288,2048,2.1975990875944262e-06,23.389434814453125,0.005060553550720215,0.009626115672290325,3.3874789022780107,17.007064819335938
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,128,2048,524288,4096,1.885260530798405e-06,21.79584503173828,0.004680537153035402,0.009626115672290325,3.9486959087500053,18.60065460205078
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,64,2048,524288,8192,1.5743706853754702e-06,20.0775146484375,0.004273146390914917,0.009626115672290325,4.72844204610945,20.318984985351562
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,32,2048,524288,16384,1.2630753190023825e-06,18.1182861328125,0.0038317455910146236,0.009626115672290325,5.893805723930454,22.278213500976562
0,v_proj,model.layers.0.self_attn.v_proj.weight,grouped,16,2048,524288,32768,9.60443685471546e-07,15.950965881347656,0.0033592309337109327,0.009626115672290325,7.7509183073410615,24.445533752441406
1,down_proj,model.layers.1.mlp.down_proj.weight,global,11534336,5632,11534336,1,0.00027299654902890325,98.32759336991744,0.08203125,0.08203125,1.0,0.0
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,512,5632,11534336,22528,6.112055871199118e-06,19.19412612915039,0.00824759341776371,0.08203125,44.66525744885646,79.13346724076705
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,256,5632,11534336,45056,5.2109535317867994e-06,17.87149255925959,0.007661906071007252,0.08203125,52.38898166403235,80.45610081065784
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,128,5632,11534336,90112,4.379249276098562e-06,16.498088836669922,0.007062872871756554,0.08203125,62.33866396208294,81.82950453324752
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,64,5632,11534336,180224,3.602924152801279e-06,15.05248329856179,0.006440556142479181,0.08203125,75.77082876325554,83.27511007135564
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,32,5632,11534336,360448,2.8727497465297347e-06,13.51542906327681,0.0057906522415578365,0.08203125,95.02970084974562,84.81216430664062
1,down_proj,model.layers.1.mlp.down_proj.weight,grouped,16,5632,11534336,720896,2.1846831259608734e-06,11.83070269497958,0.005100160371512175,0.08203125,124.95933427820711,86.49689067493786
1,gate_proj,model.layers.1.mlp.gate_proj.weight,global,11534336,2048,11534336,1,0.00026912271277979016,94.1532308405096,0.0686383917927742,0.0686383917927742,1.0,0.0
