build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","128","0","0","2026-08-23T03:46:30Z","11992760","3890669","11542.271018","3349.221492"
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-23T03:46:31Z","26895640","852483","19051.329834","583.246167"
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","1024","0","0","2026-08-23T03:46:31Z","55252180","1231658","18540.649166","417.506172"
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","0","64","0","2026-08-23T03:46:31Z","129892540","853553","492.731951","3.228740"
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","0","128","0","2026-08-23T03:46:32Z","262655580","9172850","487.784887","16.273928"
"b95502ba9","10516","AMD Ryzen 9 5900XT 16-Core Processor           ","AMD Radeon RX 9070 XT","Vulkan",".\models\gguf\tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","0","256","0","2026-08-23T03:46:33Z","516833900","7715658","495.411513","7.365716"
