trial,group_size,num_groups,mse,average_scale,zeroed_values
8,125,8,0.132785961,18.20750999,249
8,200,5,0.202468619,28.92222023,325
8,250,4,0.240344986,36.05205536,370
8,500,2,0.46593532,71.65885925,585
8,1000,1,1.006940484,142.8571472,999
9,1,1000,4.44E-16,0.258476347,0
9,2,500,0.001825418,0.44500488,36
9,4,250,0.00723096,0.776565194,67
9,8,125,0.018412132,1.389144182,89
9,10,100,0.02009874,1.684300542,99
9,16,63,0.030090816,2.54957962,118
9,20,50,0.033050179,3.142659664,124
9,25,40,0.04185795,3.869637251,134
9,32,32,0.050129205,4.769872189,144
9,40,25,0.056411546,6.022857189,156
9,50,20,0.071194902,7.456873894,169
9,64,16,0.084754713,9.25116539,186
9,100,10,0.106788382,14.60936451,223
9,125,8,0.140729129,18.18038177,248
9,200,5,0.211087897,28.89501381,324
9,250,4,0.245504454,36.01870728,364
9,500,2,0.540566444,71.62518311,583
9,1000,1,1.001437068,142.8571472,999
10,1,1000,2.94E-16,0.254702806,0
10,2,500,0.001780359,0.44429639,46
10,4,250,0.006024262,0.779431999,82
10,8,125,0.015953824,1.394014835,103
10,10,100,0.017992578,1.69095397,106
10,16,63,0.022382502,2.560397863,131
10,20,50,0.027887318,3.166134834,142
10,25,40,0.030086357,3.895086765,146
10,32,32,0.032154892,4.801981449,166
10,40,25,0.047745701,6.062387466,172
10,50,20,0.057690009,7.498347282,191
10,64,16,0.072795227,9.290523529,206
10,100,10,0.12039607,14.66087341,244
10,125,8,0.148853913,18.23518181,274
10,200,5,0.21080032,28.93010902,337
10,250,4,0.255883694,36.05636978,378
10,500,2,0.474403203,71.66687775,591
10,1000,1,0.972674489,142.8571472,999
11,1,1000,2.53E-16,0.25392276,0
11,2,500,0.002341009,0.442136317,52
11,4,250,0.004186923,0.775809467,77
11,8,125,0.008359957,1.388342381,102
11,10,100,0.009458131,1.685063481,110
11,16,63,0.02265903,2.541793346,129
11,20,50,0.031172074,3.14539957,136
11,25,40,0.035246413,3.863197327,143
11,32,32,0.045831177,4.768613815,163
11,40,25,0.052072685,6.030303955,172
11,50,20,0.064547896,7.452501774,179
11,64,16,0.076531902,9.251142502,200
11,100,10,0.116703026,14.6070385,233
11,125,8,0.16735293,18.17277336,256
11,200,5,0.246006608,28.8651638,326
11,250,4,0.301164955,35.98745346,368
11,500,2,0.498640567,71.62547302,576
11,1000,1,0.945079446,142.8571472,999
12,1,1000,3.86E-16,0.253706157,0
12,2,500,0.001306307,0.441361278,36
12,4,250,0.003162822,0.771762431,66
12,8,125,0.007876059,1.381413817,90
12,10,100,0.010399516,1.680986643,96
12,16,63,0.01498707,2.542506933,112
12,20,50,0.016859215,3.146006107,122
12,25,40,0.028318271,3.865595579,129
12,32,32,0.035268933,4.767627716,140
12,40,25,0.039114218,6.034648895,156
12,50,20,0.049935408,7.460225582,162
12,64,16,0.076869138,9.251699448,185
12,100,10,0.10753233,14.61711121,223
12,125,8,0.132924646,18.17519379,241
12,200,5,0.201813355,28.87917709,311
12,250,4,0.255208015,36.0059967,353
12,500,2,0.488143444,71.64564514,575
12,1000,1,0.923906505,142.8571472,999
13,1,1000,4.05E-16,0.258780509,0
13,2,500,0.001688401,0.448672354,50
13,4,250,0.005827386,0.780985057,69
13,8,125,0.010193069,1.396935344,92
13,10,100,0.012102194,1.695236564,95
13,16,63,0.017826442,2.557573557,111
13,20,50,0.02222061,3.16379118,116
13,25,40,0.02998179,3.887056351,128
13,32,32,0.037795816,4.782202244,134
13,40,25,0.046884902,6.045773983,144
13,50,20,0.059572395,7.48657465,167
13,64,16,0.076105982,9.275226593,183
13,100,10,0.11423327,14.63642883,219
13,125,8,0.134002313,18.19911957,243
13,200,5,0.218805403,28.89048195,311
13,250,4,0.280533284,36.01911163,357
13,500,2,0.524720192,71.6227951,564
13,1000,1,1.026109099,142.8571472,999
14,1,1000,3.91E-16,0.257539332,0
14,2,500,0.001481046,0.448836744,44
14,4,250,0.005840887,0.784114063,85
14,8,125,0.009347693,1.401299596,112
14,10,100,0.011599937,1.698384285,115
14,16,63,0.024152817,2.568126678,137
14,20,50,0.031226344,3.167308092,141
14,25,40,0.037570223,3.888121128,152
14,32,32,0.048465434,4.80364275,172
14,40,25,0.05560853,6.063925743,184
14,50,20,0.068927042,7.500826836,198
14,64,16,0.085050985,9.291524887,212
14,100,10,0.140111059,14.64126587,245
14,125,8,0.161926806,18.21888733,269
14,200,5,0.219035268,28.90849304,335
14,250,4,0.290136725,36.03334427,373
14,500,2,0.546844661,71.6366272,586
14,1000,1,1.043822289,142.8571472,999
15,1,1000,3.67E-16,0.257760137,0
15,2,500,0.001456312,0.448487729,46
15,4,250,0.004404721,0.782000721,79
15,8,125,0.009787438,1.398564696,107
15,10,100,0.011164009,1.692533016,120
15,16,63,0.021404905,2.557448387,134
15,20,50,0.027557189,3.162750006,147
15,25,40,0.034971666,3.878189802,155
15,32,32,0.043149833,4.787463665,165
15,40,25,0.052972548,6.043849468,174
15,50,20,0.061813086,7.482224941,186
15,64,16,0.072879836,9.270792961,198
15,100,10,0.112771317,14.62091064,230
15,125,8,0.147146985,18.19095612,260
15,200,5,0.238097131,28.8742466,322
15,250,4,0.278878063,36.01139832,370
15,500,2,0.51046437,71.62156677,582
15,1000,1,1.004871607,142.8571472,999
16,1,1000,3.53E-16,0.255560607,0
16,2,500,0.001942573,0.444928229,50
16,4,250,0.006988601,0.77725774,80
16,8,125,0.012172746,1.388770103,95
16,10,100,0.014250604,1.6875,107
16,16,63,0.026334016,2.551926851,120
16,20,50,0.031906251,3.151928902,126
16,25,40,0.037973978,3.876904249,134
16,32,32,0.044998296,4.77390337,144
16,40,25,0.051590715,6.030946732,155
16,50,20,0.061819293,7.466178894,166
16,64,16,0.06949199,9.257861137,184
16,100,10,0.113522433,14.61523914,216
16,125,8,0.141818613,18.17624855,240
16,200,5,0.207236484,28.88053513,311
16,250,4,0.260230362,36.01089096,359
16,500,2,0.500546634,71.66390228,587
16,1000,1,0.967043817,142.8571472,999
17,1,1000,3.35E-16,0.256197125,0
17,2,500,0.002867871,0.444050908,44
17,4,250,0.008333966,0.778861046,81
17,8,125,0.011053591,1.400791883,114
17,10,100,0.012146002,1.701103687,125
17,16,63,0.017570412,2.57007885,149
17,20,50,0.019998122,3.171062946,153
17,25,40,0.021849038,3.899052858,165
17,32,32,0.025327057,4.809633255,184
17,40,25,0.030370723,6.067014217,195
17,50,20,0.045117371,7.495445251,210
17,64,16,0.062470544,9.291313171,223
17,100,10,0.097982094,14.64563274,261
17,125,8,0.112498917,18.23147011,289
17,200,5,0.171990633,28.92140198,349
17,250,4,0.220655963,36.06518173,397
17,500,2,0.499112636,71.67823792,610
17,1000,1,1.016459465,142.8571472,999
18,1,1000,2.97E-16,0.255728483,0
18,2,500,0.001524483,0.445258349,55
18,4,250,0.006831076,0.783823848,95
18,8,125,0.015083319,1.402576447,129
18,10,100,0.017954202,1.701877594,138
18,16,63,0.02353077,2.565835953,150
18,20,50,0.029003762,3.173539162,165
18,25,40,0.032204524,3.890367985,171
18,32,32,0.04377985,4.801549435,185
18,40,25,0.047815945,6.062000275,194
18,50,20,0.060115278,7.486128807,202
18,64,16,0.070427723,9.28494072,218
18,100,10,0.108322419,14.6582737,260
18,125,8,0.137751058,18.22190666,276
18,200,5,0.24095884,28.90471458,349
18,250,4,0.309902281,36.03371811,391
18,500,2,0.55541563,71.63603973,591
18,1000,1,1.015272617,142.8571472,999
19,1,1000,2.99E-16,0.25489521,0
19,2,500,0.001853604,0.445730746,61
19,4,250,0.003762268,0.780951142,99
19,8,125,0.007186194,1.398633242,121
19,10,100,0.012466078,1.697360992,127
19,16,63,0.020777438,2.567648172,153
19,20,50,0.024972243,3.170902014,158
19,25,40,0.029589817,3.898645401,169
19,32,32,0.031698365,4.795489311,182
19,40,25,0.047903914,6.053147793,190
19,50,20,0.057715748,7.495248318,206
19,64,16,0.065483212,9.2896595,225
19,100,10,0.104395464,14.65909004,262
19,125,8,0.131540313,18.22204971,283
19,200,5,0.192771703,28.93896484,352
19,250,4,0.228317752,36.07283401,395
19,500,2,0.48406595,71.72111511,611
19,1000,1,1.000492215,142.8571472,999
20,1,1000,2.56E-16,0.252707899,0
20,2,500,0.001623932,0.440905809,52
20,4,250,0.005900309,0.777793109,92
20,8,125,0.008538917,1.389824748,115
20,10,100,0.010589336,1.690756321,130
20,16,63,0.020419998,2.555925846,150
20,20,50,0.022619709,3.157985926,156
20,25,40,0.029735196,3.880439281,168
20,32,32,0.037699405,4.790399551,191
20,40,25,0.044297583,6.047310352,195
20,50,20,0.050342597,7.4835639,211
20,64,16,0.064870127,9.270776749,227
20,100,10,0.095160879,14.63288403,257
20,125,8,0.1287449,18.2003479,282
20,200,5,0.205994219,28.88945961,347
20,250,4,0.270075381,36.01857376,396
20,500,2,0.507352829,71.65309143,609
20,1000,1,0.960845649,142.8571472,999
21,1,1000,3.60E-16,0.254411191,0
21,2,500,0.002635284,0.445557177,50
21,4,250,0.004274554,0.777372062,81
21,8,125,0.009573886,1.391308784,113
21,10,100,0.012476841,1.693678379,126
21,16,63,0.015672995,2.552639961,140
21,20,50,0.021600578,3.15395546,151
21,25,40,0.028927252,3.879994869,159
21,32,32,0.03033356,4.778540611,169
21,40,25,0.034820251,6.036634445,177
21,50,20,0.044042427,7.469107628,190
21,64,16,0.065664887,9.260504723,211
21,100,10,0.104148537,14.61747265,242
21,125,8,0.129955709,18.19160461,262
21,200,5,0.209456071,28.88241196,335
21,250,4,0.249636024,36.00413132,375
21,500,2,0.481856972,71.62844849,586
21,1000,1,0.957125187,142.8571472,999
22,1,1000,3.68E-16,0.259184539,0
22,2,500,0.001410493,0.448576003,39
22,4,250,0.003027544,0.777379751,70
22,8,125,0.011241639,1.390449286,93
22,10,100,0.015050054,1.689906478,93
22,16,63,0.021782547,2.552224636,115
22,20,50,0.023454094,3.153238535,123
22,25,40,0.029866423,3.876170397,131
22,32,32,0.039467234,4.786079407,141
22,40,25,0.044202399,6.041684151,149
22,50,20,0.053694848,7.476659298,167
22,64,16,0.066333637,9.27369976,185
22,100,10,0.10105703,14.63555622,220
22,125,8,0.130291447,18.20016479,242
22,200,5,0.19812189,28.90609741,315
22,250,4,0.25034377,36.03292084,364
22,500,2,0.51068902,71.63245392,571
22,1000,1,1.006154299,142.8571472,999
23,1,1000,4.46E-16,0.257495582,0
23,2,500,0.001761871,0.445318401,39
23,4,250,0.004289344,0.777289689,68
23,8,125,0.00733709,1.387930632,90
23,10,100,0.008824305,1.687246203,97
23,16,63,0.022195159,2.551116943,110
23,20,50,0.025264408,3.153013706,118
23,25,40,0.028952224,3.879849911,133
23,32,32,0.031133765,4.77804184,137
23,40,25,0.037793681,6.039170742,153
23,50,20,0.04554493,7.488836765,172
23,64,16,0.063531816,9.271608353,184
23,100,10,0.107359283,14.65066719,233
23,125,8,0.125971615,18.21375084,253
23,200,5,0.202810064,28.90781593,325
23,250,4,0.265391409,36.03109741,369
23,500,2,0.49100855,71.64135742,581
23,1000,1,0.99218756,142.8571472,999
24,1,1000,4.24E-16,0.257206529,0
24,2,500,0.001505856,0.446042717,40
24,4,250,0.004700997,0.777427316,69
24,8,125,0.015039349,1.390072465,91
24,10,100,0.016947296,1.690633655,99
24,16,63,0.022484222,2.553435326,112
24,20,50,0.025911266,3.151688814,124
24,25,40,0.03208809,3.880317688,133
24,32,32,0.037503846,4.784183502,144
24,40,25,0.051180858,6.033428192,154
24,50,20,0.067799732,7.471459389,171
24,64,16,0.076665275,9.266836166,192
24,100,10,0.123235673,14.61822796,218
24,125,8,0.155829534,18.18479729,243
24,200,5,0.234529838,28.88068581,308
24,250,4,0.286289304,36.01898575,363
24,500,2,0.509340703,71.6513443,573
24,1000,1,1.00102973,142.8571472,999
25,1,1000,3.56E-16,0.256651729,0
25,2,500,0.001764614,0.44771418,48
25,4,250,0.005477555,0.782635927,72
25,8,125,0.010733071,1.40125668,101
25,10,100,0.0141403,1.693823576,109
25,16,63,0.019739674,2.558256865,125
25,20,50,0.027087348,3.166101694,137
25,25,40,0.028828241,3.891718626,149
25,32,32,0.045373451,4.791570187,163
25,40,25,0.049888592,6.051734447,170
25,50,20,0.065927811,7.48051548,181
25,64,16,0.077482291,9.272402763,200
25,100,10,0.108858958,14.63938904,238
25,125,8,0.129995316,18.21373749,263
25,200,5,0.199539915,28.91817284,328
25,250,4,0.246933028,36.03614426,370
25,500,2,0.48636806,71.65979004,594
25,1000,1,0.998711646,142.8571472,999
26,1,1000,2.95E-16,0.256564349,0
26,2,500,0.001295556,0.443176568,41
26,4,250,0.007772719,0.776487112,68
26,8,125,0.012916738,1.397518873,95
26,10,100,0.017293818,1.696806431,101
26,16,63,0.022816682,2.559859753,120
26,20,50,0.028275741,3.167232275,128
26,25,40,0.032872606,3.888615847,139
26,32,32,0.044043034,4.791707993,149
26,40,25,0.05402562,6.055820465,163
26,50,20,0.058729157,7.482571602,170
26,64,16,0.070877075,9.287430763,191
26,100,10,0.107738763,14.6617918,234
26,125,8,0.132560253,18.25024796,263
26,200,5,0.200354919,28.95180702,334
26,250,4,0.263918072,36.0968132,387
26,500,2,0.520094514,71.69078064,590
26,1000,1,0.997247159,142.8571472,999
27,1,1000,3.01E-16,0.256898463,0
27,2,500,0.001447464,0.447925866,46
27,4,250,0.003073242,0.781021535,82
27,8,125,0.008547994,1.395550728,99
27,10,100,0.015002175,1.692917228,111
27,16,63,0.019880315,2.55127883,122
27,20,50,0.023391938,3.153372526,129
27,25,40,0.028605139,3.872757435,139
27,32,32,0.036400836,4.772490025,151
27,40,25,0.041370906,6.03619194,163
27,50,20,0.049716424,7.472826481,182
27,64,16,0.061536107,9.262471199,195
27,100,10,0.08308015,14.6297245,236
27,125,8,0.112398431,18.19714737,265
27,200,5,0.181496099,28.89109802,331
27,250,4,0.220579043,36.02664185,384
27,500,2,0.434753776,71.64525604,594
27,1000,1,0.992925942,142.8571472,999
28,1,1000,3.59E-16,0.25339371,0
28,2,500,0.001904842,0.443686843,48
28,4,250,0.006740532,0.777406573,81
28,8,125,0.011703361,1.391088128,109
28,10,100,0.014342714,1.68670702,113
28,16,63,0.029220469,2.552596331,134
28,20,50,0.030823527,3.153594017,134
28,25,40,0.036363412,3.880630016,145
28,32,32,0.04942131,4.777917385,154
28,40,25,0.058410011,6.040628433,166
28,50,20,0.068979919,7.489515781,183
28,64,16,0.072512396,9.281047821,197
28,100,10,0.104885146,14.67227364,249
28,125,8,0.127129957,18.25968933,280
28,200,5,0.209837347,28.94865799,342
28,250,4,0.246905401,36.07703781,383
28,500,2,0.500603735,71.66259766,588
28,1000,1,0.959452629,142.8571472,999
29,1,1000,2.92E-16,0.253417432,0
29,2,500,0.002411347,0.441982001,41
29,4,250,0.005326109,0.77682966,84
29,8,125,0.011353767,1.396198153,115
29,10,100,0.016340315,1.694252968,124
29,16,63,0.026623061,2.559663773,134
29,20,50,0.030825796,3.159106731,144
29,25,40,0.035616819,3.883164644,162
29,32,32,0.046840876,4.789016724,167
29,40,25,0.050940849,6.047305107,177
29,50,20,0.05860842,7.488018036,199
29,64,16,0.068498336,9.281944275,211
29,100,10,0.098594777,14.65925598,260
29,125,8,0.116605595,18.23167229,281
29,200,5,0.190280557,28.91370583,346
29,250,4,0.257762998,36.04948807,396
29,500,2,0.50563699,71.72079468,634
29,1000,1,0.953309953,142.8571472,999
30,1,1000,4.04E-16,0.258959502,0
30,2,500,0.002194824,0.449526936,47
30,4,250,0.006157862,0.784342825,80
30,8,125,0.013407324,1.398866653,104
30,10,100,0.016913205,1.694298983,107
30,16,63,0.028448151,2.560052872,129
30,20,50,0.032530423,3.151135206,133
30,25,40,0.041366454,3.881267548,139
30,32,32,0.046873428,4.779691219,151
30,40,25,0.05095426,6.040069103,162
30,50,20,0.056880433,7.477714539,177
30,64,16,0.063716345,9.262974739,194
30,100,10,0.100377545,14.62875843,239
30,125,8,0.12351729,18.18813324,255
30,200,5,0.198558778,28.88485336,332
30,250,4,0.257919014,36.00867081,369
30,500,2,0.519548118,71.64930725,586
30,1000,1,1.028351426,142.8571472,999
31,1,1000,3.50E-16,0.256252676,0
31,2,500,0.001482831,0.447522998,45
31,4,250,0.004635052,0.779362321,76
31,8,125,0.010738463,1.402909875,101
31,10,100,0.012643432,1.696571708,101
31,16,63,0.016322261,2.563014746,126
31,20,50,0.018219428,3.159858704,131
31,25,40,0.024997741,3.890750408,147
31,32,32,0.037945632,4.790066242,158
31,40,25,0.046076208,6.052871704,174
31,50,20,0.053150672,7.484030247,181
31,64,16,0.068972439,9.280480385,196
31,100,10,0.112151347,14.62835407,227
31,125,8,0.139062658,18.20997238,259
31,200,5,0.20583646,28.90365601,327
31,250,4,0.238198832,36.04409027,374
31,500,2,0.490605712,71.69297028,596
31,1000,1,0.992234945,142.8571472,999
32,1,1000,3.64E-16,0.254924834,0
32,2,500,0.001500022,0.44425711,42
32,4,250,0.007260757,0.774411798,75
32,8,125,0.009721865,1.387665153,95
32,10,100,0.011881785,1.688420057,107
32,16,63,0.017231148,2.554501295,123
32,20,50,0.022537313,3.160243511,136
32,25,40,0.029966196,3.887720585,149
32,32,32,0.038011637,4.785690784,162
32,40,25,0.046427339,6.053956985,173
32,50,20,0.060076218,7.49403286,189
32,64,16,0.071430854,9.278720856,205
32,100,10,0.094586432,14.65071678,236
32,125,8,0.126357779,18.21706963,262
32,200,5,0.217140213,28.904953,326
32,250,4,0.259224683,36.04763794,379
32,500,2,0.473721802,71.68251038,591
32,1000,1,0.967115045,142.8571472,999
33,1,1000,4.05E-16,0.258732527,0
33,2,500,0.001281063,0.449728757,48
33,4,250,0.003734222,0.77976346,74
33,8,125,0.008281906,1.393616199,104
33,10,100,0.012193195,1.695175529,113
33,16,63,0.016435863,2.55625844,127
33,20,50,0.021439221,3.154236078,137
33,25,40,0.024717448,3.878180742,142
33,32,32,0.031529833,4.782714367,153
33,40,25,0.040630389,6.045404434,168
33,50,20,0.045223065,7.479054928,179
33,64,16,0.065067992,9.276152611,195
33,100,10,0.111410089,14.63099098,229
33,125,8,0.132564336,18.20374489,253
33,200,5,0.229595184,28.91225815,327
33,250,4,0.282296687,36.03546524,370
33,500,2,0.516115069,71.69348145,596
33,1000,1,1.008632898,142.8571472,999
34,1,1000,3.25E-16,0.255775422,0
34,2,500,0.001684227,0.446308672,50
34,4,250,0.00446227,0.778385997,87
34,8,125,0.008203371,1.391080141,106
34,10,100,0.009082383,1.686835885,108
34,16,63,0.015190282,2.549465895,127
34,20,50,0.018167514,3.151930332,133
34,25,40,0.020652145,3.874450207,144
34,32,32,0.023718353,4.779918671,152
34,40,25,0.028038677,6.045029163,167
34,50,20,0.03216546,7.478393555,179
34,64,16,0.050844286,9.273621559,196
34,100,10,0.083982937,14.63128471,231
34,125,8,0.104784183,18.19430733,256
34,200,5,0.195639744,28.90647507,328
34,250,4,0.254741192,36.02281189,376
34,500,2,0.477988183,71.66075897,595
34,1000,1,0.978175759,142.8571472,999
