model,layer,matrix_type,tensor_key,rows,columns,num_weights,minimum,maximum,mean,std,max_abs,max_to_std,skewness,pearson_kurtosis,excess_kurtosis,abs_percentile_99,abs_percentile_99_9,abs_percentile_99_99,percent_above_5_std,percent_above_10_std,percent_above_20_std,global_int8_scale,global_int8_mse,global_int8_zeroed_percent,global_int4_scale,global_int4_mse,global_int4_zeroed_percent,grouped_int4_group_size,grouped_int4_number_of_scales,grouped_int4_average_scale,grouped_int4_maximum_scale,grouped_int4_mse,grouped_int4_zeroed_percent,int4_to_int8_mse_ratio,grouped_vs_global_int4_mse_improvement,grouped_int4_zeroed_point_reduction
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,down_proj,model.layers.0.mlp.down_proj.weight,2048,5632,11534336,-0.5234375,0.4140625,3.699605940710171e-06,0.016641786321997643,0.5234375,31.453203993378022,-0.014606348238885403,4.777334690093994,1.7773346900939941,0.0439453125,0.0625,0.11181640625,0.028176741166548294,0.002366846257990057,0.00011270696466619319,0.0041215550154447556,1.4164344293021713e-06,10.212274031205611,0.0747767835855484,0.00024673083680681884,97.46080745350231,64,180224,0.006340248975902796,0.0747767835855484,3.549210077835596e-06,15.459043329412287,174.191499234013,69.51711265208678,82.00176412409003
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,gate_proj,model.layers.0.mlp.gate_proj.weight,5632,2048,11534336,-0.494140625,0.296875,-1.9800017980742268e-05,0.01655183546245098,0.494140625,29.854128632500803,0.003153868718072772,4.574677467346191,1.5746774673461914,0.044189453125,0.06494140625,0.1171875,0.03842440518465909,0.0019333579323508523,3.467906605113637e-05,0.0038908710703253746,1.2613746775969048e-06,9.73756963556463,0.0705915167927742,0.00023547840828541666,96.60261327570134,64,180224,0.006315198726952076,0.0705915167927742,3.5447810660116374e-06,15.537079897793857,186.68395082580537,66.42960563721415,81.06553337790749
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,k_proj,model.layers.0.self_attn.k_proj.weight,256,2048,524288,-3.109375,1.1796875,-9.894888353301212e-05,0.03176126256585121,3.109375,97.89834373092931,-2.8520212173461914,300.17486572265625,297.17486572265625,0.1259765625,0.30078125,0.541259765625,0.579833984375,0.0858306884765625,0.00438690185546875,0.024483267217874527,3.8571110053453594e-05,67.17205047607422,0.4441964328289032,0.0007741155568510294,99.75242614746094,64,8192,0.01749119907617569,0.4441964328289032,3.220693179173395e-05,49.4659423828125,20.069828319128614,24.035681568702223,50.28648376464844
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,o_proj,model.layers.0.self_attn.o_proj.weight,2048,2048,4194304,-0.341796875,0.380859375,1.0502305940462975e-06,0.008300107903778553,0.380859375,45.886075146880565,0.03953051194548607,55.198246002197266,52.198246002197266,0.0264892578125,0.051025390625,0.1298828125,0.1750946044921875,0.030803680419921875,0.005626678466796875,0.0029988926835358143,7.499141929656616e-07,21.66297435760498,0.0544084832072258,5.5371921916957945e-05,99.0990400314331,64,65536,0.002935408614575863,0.0544084832072258,1.005986746349663e-06,17.81489849090576,73.83767694538541,55.04239704735797,81.28414154052734
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,q_proj,model.layers.0.self_attn.q_proj.weight,2048,2048,4194304,-1.5859375,1.03125,-7.4533109000185505e-06,0.016398850828409195,1.5859375,96.71028272618584,-0.18992672860622406,145.24032592773438,142.24032592773438,0.0595703125,0.13671875,0.30078125,0.4189729690551758,0.06089210510253906,0.007867813110351562,0.01248769648373127,1.0891404599533416e-05,58.402299880981445,0.2265625,0.00021798070520162582,99.83193874359131,64,65536,0.007999615743756294,0.2265625,7.368383194261696e-06,39.3366813659668,20.014012261647505,29.583247702343098,60.49525737762451
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,up_proj,model.layers.0.mlp.up_proj.weight,5632,2048,11534336,-0.162109375,0.1708984375,-7.201819016700028e-07,0.01683666557073593,0.1708984375,10.15037311170694,0.0004980691010132432,3.2439210414886475,0.24392104148864746,0.044189453125,0.05859375,0.078125,0.006753748113458807,8.669766512784092e-06,0.0,0.0013456570450216532,1.511117631025627e-07,3.2774058255282315,0.0244140625,4.9551890697330236e-05,54.016659476540305,64,180224,0.006329841911792755,0.0244140625,3.432100584177533e-06,15.163178877397018,327.9155088919076,14.437773451562412,38.85348059914329
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,v_proj,model.layers.0.self_attn.v_proj.weight,256,2048,524288,-0.0673828125,0.06201171875,1.1258463018748444e-05,0.011015907861292362,0.0673828125,6.116864206605192,0.004699062090367079,3.8889248371124268,0.8889248371124268,0.031494140625,0.04248046875,0.052001953125,0.0049591064453125,0.0,0.0,0.0005305733066052198,2.345791116908913e-08,2.8421401977539062,0.009626115672290325,7.444320544891525e-06,40.39649963378906,64,8192,0.004273146390914917,0.009626115672290325,1.5743706853754702e-06,20.0775146484375,317.3479723420995,4.72844204610945,20.318984985351562
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,down_proj,model.layers.1.mlp.down_proj.weight,2048,5632,11534336,-0.57421875,0.51953125,1.818606961023761e-06,0.017109647393226624,0.57421875,33.56110951925999,-0.005086127202957869,4.195329666137695,1.1953296661376953,0.04443359375,0.0595703125,0.09423828125,0.014140389182350853,0.0011877580122514205,6.935813210227273e-05,0.004521407652646303,1.7040000557244639e-06,10.684195431795986,0.08203125,0.00027299654902890325,98.32759336991744,64,180224,0.006440556142479181,0.08203125,3.602924152801279e-06,15.05248329856179,160.20923714866748,75.77082876325554,83.27511007135564
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,gate_proj,model.layers.1.mlp.gate_proj.weight,5632,2048,11534336,-0.48046875,0.33984375,1.3313402860148926e-06,0.0181332565844059,0.48046875,26.49655056517481,0.0011212121462449431,3.518993616104126,0.518993616104126,0.047119140625,0.062255859375,0.08447265625,0.00720457597212358,0.0006415627219460227,2.6009299538352273e-05,0.003783218562602997,1.1920519682462327e-06,8.43322060324929,0.0686383917927742,0.00026912271277979016,94.1532308405096,64,180224,0.006820386741310358,0.0686383917927742,3.97502208215883e-06,15.08861021562056,225.76424514086253,67.70345100413377,79.06462062488903
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,k_proj,model.layers.1.self_attn.k_proj.weight,256,2048,524288,-0.62890625,0.671875,-1.1305139196338132e-05,0.0479062981903553,0.671875,14.02477388944372,0.016271747648715973,9.99646282196045,6.996462821960449,0.1640625,0.28515625,0.4488525390625,0.22144317626953125,0.00705718994140625,0.0,0.005290354136377573,2.326537924091099e-06,10.636711120605469,0.0959821417927742,0.0005812174640595913,77.88619995117188,64,8192,0.019931111484766006,0.0959821417927742,4.145828279433772e-05,24.50580596923828,249.82075643003054,14.019332806012233,53.380393981933594
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,o_proj,model.layers.1.self_attn.o_proj.weight,2048,2048,4194304,-0.515625,0.361328125,-2.0070178834430408e-06,0.013680863194167614,0.515625,37.689507795079756,-0.030745528638362885,7.489809036254883,4.489809036254883,0.037353515625,0.053466796875,0.1015625,0.033545494079589844,0.004100799560546875,0.000476837158203125,0.004060039296746254,1.374014800603618e-06,12.841320037841797,0.0736607164144516,0.00017414585454389453,98.9060640335083,64,65536,0.005048070102930069,0.0736607164144516,2.312823198735714e-06,15.163946151733398,126.74234256238766,75.29579201691247,83.7421178817749
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,q_proj,model.layers.1.self_attn.q_proj.weight,2048,2048,4194304,-0.6015625,0.546875,3.425379873078782e-06,0.02935442142188549,0.6015625,20.493079776782753,-0.01039035338908434,7.965930938720703,4.965930938720703,0.09521484375,0.1591796875,0.24609375,0.14841556549072266,0.0037431716918945312,2.384185791015625e-05,0.004736712668091059,1.8376010757492622e-06,13.329553604125977,0.0859375,0.0004140672681387514,88.0544900894165,64,65536,0.011898594908416271,0.0859375,1.342291034234222e-05,23.71809482574463,225.33033616663502,30.84780107877105,64.33639526367188
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,up_proj,model.layers.1.mlp.up_proj.weight,5632,2048,11534336,-0.259765625,0.251953125,-2.8048793865309563e-06,0.01728121004998684,0.259765625,15.031680319179838,-0.0012007231125608087,3.1593618392944336,0.1593618392944336,0.044921875,0.058349609375,0.07373046875,0.0035892833362926135,0.00011270696466619319,0.0,0.0020453985780477524,3.4868892839767796e-07,4.809145493940874,0.037109375,0.00011198534048162401,72.16481295498934,64,180224,0.006495137698948383,0.037109375,3.5773846320807934e-06,15.08106751875444,321.1611593067426,31.30369026505475,57.083745436234906
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,v_proj,model.layers.1.self_attn.v_proj.weight,256,2048,524288,-0.08984375,0.08837890625,9.306521860708017e-06,0.013356774114072323,0.08984375,6.726455746926433,-0.005648718681186438,3.771761178970337,0.7717611789703369,0.037353515625,0.05126953125,0.0654296875,0.00762939453125,0.0,0.0,0.0007074311142787337,4.1759616209446904e-08,2.7219772338867188,0.012834821827709675,1.343707390333293e-05,41.92848205566406,64,8192,0.00531507283449173,0.012834821827709675,2.423744035695563e-06,19.012451171875,321.77196830398987,5.543932736064176,22.916030883789062
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,down_proj,model.layers.2.mlp.down_proj.weight,2048,5632,11534336,-0.8359375,0.52734375,5.3819589993509e-06,0.01743481494486332,0.8359375,47.946450974306764,-0.005931444466114044,4.558491230010986,1.5584912300109863,0.045166015625,0.05859375,0.07666015625,0.005826083096590909,0.000762939453125,0.00014738603071732953,0.006582185160368681,3.610295834732824e-06,15.110475366765803,0.1194196417927742,0.00030163346673361957,99.9161113392223,64,180224,0.006520482711493969,0.1194196417927742,3.650585085779312e-06,14.92583534934304,83.54813027557384,82.62606120553635,84.99027598987925
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,gate_proj,model.layers.2.mlp.gate_proj.weight,5632,2048,11534336,-1.1640625,1.0,-4.5668308302992955e-05,0.018460651859641075,1.1640625,63.05641365486606,-0.045633234083652496,14.800731658935547,11.800731658935547,0.047607421875,0.062255859375,0.11328125,0.013212724165482954,0.004863739013671875,0.00032945112748579544,0.00916584674268961,6.999877314228797e-06,19.998030229048297,0.1662946492433548,0.0003352222847752273,99.98370950872248,64,180224,0.006865828763693571,0.1662946492433548,4.10861002819729e-06,14.958147569136186,47.889737166366324,81.59019290577713,85.0255619395863
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,k_proj,model.layers.2.self_attn.k_proj.weight,256,2048,524288,-0.66796875,0.56640625,9.293160837842152e-05,0.0541960708796978,0.66796875,12.325040158035247,-0.007069719955325127,5.996622085571289,2.996622085571289,0.16796875,0.26953125,0.408203125,0.09784698486328125,0.000762939453125,0.0,0.005259596277028322,2.3035559024719987e-06,5.141258239746094,0.0954241082072258,0.0006918595172464848,69.26441192626953,64,8192,0.021306946873664856,0.0954241082072258,4.524318501353264e-05,17.496299743652344,300.3441403371346,15.292016179664262,51.76811218261719
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,o_proj,model.layers.2.self_attn.o_proj.weight,2048,2048,4194304,-0.58984375,0.59765625,-3.4915567539428594e-06,0.014070266857743263,0.59765625,42.476539787238856,-0.03266038000583649,18.464284896850586,15.464284896850586,0.037353515625,0.062255859375,0.1630859375,0.07524490356445312,0.014233589172363281,0.0011682510375976562,0.004705954808741808,1.84604243713693e-06,14.471268653869629,0.0853794664144516,0.0001817148004192859,99.53529834747314,64,65536,0.005073908716440201,0.0853794664144516,2.394777084191446e-06,14.935111999511719,98.43479042719711,75.87963055886625,84.60018634796143
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,q_proj,model.layers.2.self_attn.q_proj.weight,2048,2048,4194304,-0.490234375,0.50390625,2.9561098926933482e-05,0.032213520258665085,0.50390625,15.64269430828364,-0.005343502387404442,4.8707194328308105,1.8707194328308105,0.09521484375,0.1416015625,0.20703125,0.044274330139160156,0.0010251998901367188,0.0,0.003967765718698502,1.3124360975780291e-06,5.858898162841797,0.0719866082072258,0.00038253216189332306,77.28755474090576,64,65536,0.011853517033159733,0.0719866082072258,1.3275352102937177e-05,15.658330917358398,291.46726655815723,28.815217775556228,61.62922382354736
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,up_proj,model.layers.2.mlp.up_proj.weight,5632,2048,11534336,-0.4140625,0.34375,-1.6775898075138684e-06,0.01752055063843727,0.4140625,23.63296157437047,-0.003285531885921955,3.294142246246338,0.2941422462463379,0.04541015625,0.05859375,0.07275390625,0.003537264737215909,0.00040747902610085225,1.7339533025568183e-05,0.0032603347208350897,8.857079478730157e-07,7.492464238947088,0.0591517873108387,0.00022719390108250082,90.89237559925427,64,180224,0.006558303255587816,0.0591517873108387,3.648775646070135e-06,14.993476867675781,256.5110786553241,62.26579080771847,75.89889873157848
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,v_proj,model.layers.2.self_attn.v_proj.weight,256,2048,524288,-0.0712890625,0.068359375,-1.3484113878803328e-05,0.011770629324018955,0.0712890625,6.0565208993990405,-0.0059031108394265175,3.414883613586426,0.4148836135864258,0.031982421875,0.04248046875,0.0518951416015625,0.00095367431640625,0.0,0.0,0.0005613312241621315,2.632155293724736e-08,2.219390869140625,0.01018415205180645,8.538675501768012e-06,36.150550842285156,64,8192,0.004482496064156294,0.01018415205180645,1.7183081126859179e-06,16.729354858398438,324.39862200094655,4.969234236123728,19.42119598388672
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,down_proj,model.layers.3.mlp.down_proj.weight,2048,5632,11534336,-0.404296875,0.62890625,5.717226486012805e-06,0.017289239913225174,0.62890625,36.37558696371184,0.008614429272711277,3.7536933422088623,0.7536933422088623,0.044921875,0.05859375,0.07666015625,0.0057220458984375,0.00057220458984375,6.068836558948863e-05,0.004952017683535814,2.044262600975344e-06,11.54090707952326,0.08984375,0.0002874408382922411,99.0252668207342,64,180224,0.006468933541327715,0.08984375,3.5807918266073102e-06,14.945741133256393,140.6085686619221,80.27298212545978,84.07952568747781
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,gate_proj,model.layers.3.mlp.gate_proj.weight,5632,2048,11534336,-0.29296875,0.365234375,-4.7389872634084895e-05,0.018701743334531784,0.365234375,19.529429340718945,0.0005252021946944296,3.224742889404297,0.22474288940429688,0.048583984375,0.0634765625,0.08251953125,0.004681673916903409,0.0003034418279474432,0.0,0.002875861246138811,6.890244890200847e-07,6.197920712557706,0.0521763376891613,0.00020327964739408344,83.81603414362127,64,180224,0.0069749136455357075,0.0521763376891613,4.1396024244022556e-06,14.880561828613281,295.0252866675076,49.10607989689646,68.93547231500798
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,k_proj,model.layers.3.self_attn.k_proj.weight,256,2048,524288,-0.412109375,0.431640625,7.816925790393725e-05,0.047688115388154984,0.431640625,9.051324873853435,0.003141980152577162,4.531643867492676,1.5316438674926758,0.142578125,0.2021484375,0.275390625,0.030517578125,0.0,0.0,0.0033987450879067183,9.61642285801645e-07,3.5505294799804688,0.0616629458963871,0.00030956268892623484,54.56352233886719,64,8192,0.017806904390454292,0.0616629458963871,2.9804345103912055e-05,16.150665283203125,321.91043748474203,10.386495252519483,38.41285705566406
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,o_proj,model.layers.3.self_attn.o_proj.weight,2048,2048,4194304,-0.357421875,0.345703125,8.50376545713516e-06,0.014256839640438557,0.357421875,25.07020377687332,0.005707835778594017,4.893642425537109,1.8936424255371094,0.037353515625,0.051513671875,0.09423828125,0.023221969604492188,0.0027179718017578125,0.00019073486328125,0.0028143455274403095,6.608490252801857e-07,8.06877613067627,0.0510602667927742,0.0001563300465932116,92.89016723632812,64,65536,0.005259765777736902,0.0510602667927742,2.410053411949775e-06,14.78583812713623,236.55939649291457,64.86580165322472,78.1043291091919
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,q_proj,model.layers.3.self_attn.q_proj.weight,2048,2048,4194304,-0.271484375,0.328125,-1.785152380762156e-05,0.02706318162381649,0.328125,12.124405938703054,0.0022050964180380106,4.245438575744629,1.245438575744629,0.07861328125,0.111328125,0.1533203125,0.024080276489257812,0.00019073486328125,0.0,0.002583661349490285,5.55818132852437e-07,4.55317497253418,0.046875,0.0001742444874253124,65.89534282684326,64,65536,0.009978372603654861,0.046875,9.187158866552636e-06,15.695047378540039,313.49190882113993,18.96609060061845,50.20029544830322
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,up_proj,model.layers.3.mlp.up_proj.weight,5632,2048,11534336,-0.353515625,0.279296875,-3.4109900752810063e-06,0.01739625260233879,0.353515625,20.321366508122132,0.00021853666112292558,3.1701560020446777,0.17015600204467773,0.045166015625,0.05810546875,0.07177734375,0.002973729913884943,0.00024275346235795453,8.669766512784092e-06,0.0027835876680910587,6.457785843849706e-07,6.443613225763494,0.0505022332072258,0.00018630204431246966,85.327486558394,64,180224,0.006512001622468233,0.0505022332072258,3.594408099161228e-06,14.973050897771662,288.4921377346398,51.831077377091404,70.35443566062234
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,v_proj,model.layers.3.self_attn.v_proj.weight,256,2048,524288,-0.06982421875,0.08349609375,-2.7222963581152726e-06,0.011424141004681587,0.08349609375,7.308741525142546,0.0036271237768232822,3.2499921321868896,0.24999213218688965,0.0303955078125,0.039794921875,0.0482330322265625,0.00095367431640625,0.0,0.0,0.0006574495346285403,3.6040788131685986e-08,2.4999618530273438,0.011928013525903225,1.1761474524973892e-05,41.38145446777344,64,8192,0.004296247381716967,0.011928013525903225,1.5720992223577923e-06,15.853691101074219,326.3378836777866,7.481381809561833,25.52776336669922
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,down_proj,model.layers.4.mlp.down_proj.weight,2048,5632,11534336,-0.3828125,0.5546875,-1.0717121767811477e-06,0.017275772988796234,0.5546875,32.10782523941062,0.001823158236220479,3.3665597438812256,0.3665597438812256,0.044921875,0.05810546875,0.07421875,0.00453428788618608,0.00029477206143465907,3.467906605113637e-05,0.004367617890238762,1.5904327028692933e-06,10.192463614723899,0.0792410746216774,0.00027592218248173594,97.77747934514827,64,180224,0.006454750429838896,0.0792410746216774,3.543627144608763e-06,14.904837174849076,173.4887505670286,77.86433821106745,82.87264217029919
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,gate_proj,model.layers.4.mlp.gate_proj.weight,5632,2048,11534336,-0.328125,0.38671875,-3.597879913286306e-05,0.018956800922751427,0.38671875,20.40000058954414,0.0015139869647100568,3.245443105697632,0.24544310569763184,0.04931640625,0.06494140625,0.0849609375,0.005557320334694602,0.00024275346235795453,8.669766512784092e-06,0.0030450294725596905,7.728638138360111e-07,6.49071606722745,0.0552455373108387,0.00022197686485014856,85.68658828735352,64,180224,0.007055416703224182,0.0552455373108387,4.2346491682110354e-06,14.869837327436967,287.2134273545486,52.41918658020131,70.81675095991655
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,k_proj,model.layers.4.self_attn.k_proj.weight,256,2048,524288,-0.470703125,0.455078125,4.5668908569496125e-05,0.04895520955324173,0.470703125,9.61497518436893,-0.001450276467949152,4.729063510894775,1.7290635108947754,0.14453125,0.2138671875,0.3233642578125,0.0457763671875,0.0,0.0,0.00370632391422987,1.1448072427810985e-06,3.717041015625,0.0672433003783226,0.00036681428900919855,56.85081481933594,64,8192,0.0185544416308403,0.0672433003783226,3.282782563474029e-05,16.27941131591797,320.4157654681593,11.173883189540723,40.57140350341797
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,o_proj,model.layers.4.self_attn.o_proj.weight,2048,2048,4194304,-0.3046875,0.390625,-3.4082081583619583e-06,0.013982913456857204,0.390625,27.935880544868706,0.004410013556480408,3.901789665222168,0.901789665222168,0.036865234375,0.04931640625,0.07275390625,0.011229515075683594,0.0008821487426757812,7.152557373046875e-05,0.0030757873319089413,7.877564485170296e-07,9.113192558288574,0.0558035708963871,0.0001640971895540133,95.24099826812744,64,65536,0.005206159316003323,0.0558035708963871,2.3452685127267614e-06,15.007734298706055,208.30954778336655,69.96946774475016,80.23326396942139
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,q_proj,model.layers.4.self_attn.q_proj.weight,2048,2048,4194304,-0.3203125,0.322265625,8.574179446441121e-06,0.026049179956316948,0.322265625,12.371430714533888,0.0003006748156622052,4.201834201812744,1.2018342018127441,0.07421875,0.1044921875,0.15234375,0.02295970916748047,0.00057220458984375,0.0,0.0025375245604664087,5.364373691918445e-07,4.552125930786133,0.0460379458963871,0.0001686888572294265,66.12327098846436,64,65536,0.009704571217298508,0.0460379458963871,8.605029506725259e-06,15.8066987991333,314.4614206940136,19.60351874419347,50.316572189331055
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,up_proj,model.layers.4.mlp.up_proj.weight,5632,2048,11534336,-0.2001953125,0.27734375,-8.829229045659304e-06,0.01734655536711216,0.27734375,15.988404852171637,0.0013753800885751843,3.122495174407959,0.12249517440795898,0.044921875,0.05810546875,0.0712890625,0.0028176741166548295,0.0001040371981534091,0.0,0.002183808945119381,3.972572528709861e-07,5.09901913729581,0.0396205373108387,0.0001264529419131577,74.87986304543234,64,180224,0.006490479689091444,0.0396205373108387,3.565545057426789e-06,14.975946599786932,318.31499865459915,35.465248615990646,59.903916445645415
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,v_proj,model.layers.4.self_attn.v_proj.weight,256,2048,524288,-0.0771484375,0.05712890625,2.9868386263842694e-05,0.01010370533913374,0.0771484375,7.635657900788947,0.0007809544913470745,3.3688385486602783,0.3688385486602783,0.0272216796875,0.036376953125,0.045166015625,0.00152587890625,0.0,0.0,0.0006074680131860077,3.081032318164034e-08,2.6517868041992188,0.011021205224096775,1.0066672984976321e-05,43.44615936279297,64,8192,0.0037991839926689863,0.011021205224096775,1.238882987308898e-06,15.828132629394531,326.7305222872502,8.125604345284579,27.618026733398438
