model,layer,tensor_key,rows,columns,num_weights,minimum,maximum,mean,std,max_abs,max_to_std,skewness,pearson_kurtosis,excess_kurtosis,abs_percentile_99,abs_percentile_99_9,abs_percentile_99_99,count_above_5_std,percent_above_5_std,count_above_10_std,percent_above_10_std,count_above_20_std,percent_above_20_std,global_int8_scale,global_int8_mse,global_int8_zeroed_values,global_int8_zeroed_percent,global_int4_scale,global_int4_mse,global_int4_zeroed_values,global_int4_zeroed_percent,grouped_int4_group_size,grouped_int4_number_of_scales,grouped_int4_average_scale,grouped_int4_maximum_scale,grouped_int4_mse,grouped_int4_zeroed_values,grouped_int4_zeroed_percent,int4_to_int8_mse_ratio,grouped_vs_global_int4_mse_improvement,grouped_int4_zeroed_point_reduction
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,model.layers.0.self_attn.q_proj.weight,2048,2048,4194304,-1.5859375,1.03125,-7.4533109000185505e-06,0.016398850828409195,1.5859375,96.71028272618584,-0.18992672860622406,145.24032592773438,142.24032592773438,0.0595703125,0.13671875,0.30078125,17573,0.4189729690551758,2554,0.06089210510253906,330,0.007867813110351562,0.01248769648373127,1.0891404599533416e-05,2449570,58.402299880981445,0.2265625,0.00021798070520162582,4187255,99.83193874359131,64,65536,0.007999615743756294,0.2265625,7.368383194261696e-06,1649900,39.3366813659668,20.014012261647505,29.583247702343098,60.49525737762451
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,model.layers.1.self_attn.q_proj.weight,2048,2048,4194304,-0.6015625,0.546875,3.425379873078782e-06,0.02935442142188549,0.6015625,20.493079776782753,-0.01039035338908434,7.965930938720703,4.965930938720703,0.09521484375,0.1591796875,0.24609375,6225,0.14841556549072266,157,0.0037431716918945312,1,2.384185791015625e-05,0.004736712668091059,1.8376010757492622e-06,559082,13.329553604125977,0.0859375,0.0004140672681387514,3693273,88.0544900894165,64,65536,0.011898594908416271,0.0859375,1.342291034234222e-05,994809,23.71809482574463,225.33033616663502,30.84780107877105,64.33639526367188
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,model.layers.2.self_attn.q_proj.weight,2048,2048,4194304,-0.490234375,0.50390625,2.9561098926933482e-05,0.032213520258665085,0.50390625,15.64269430828364,-0.005343502387404442,4.8707194328308105,1.8707194328308105,0.09521484375,0.1416015625,0.20703125,1857,0.044274330139160156,43,0.0010251998901367188,0,0.0,0.003967765718698502,1.3124360975780291e-06,245740,5.858898162841797,0.0719866082072258,0.00038253216189332306,3241675,77.28755474090576,64,65536,0.011853517033159733,0.0719866082072258,1.3275352102937177e-05,656758,15.658330917358398,291.46726655815723,28.815217775556228,61.62922382354736
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,model.layers.3.self_attn.q_proj.weight,2048,2048,4194304,-0.271484375,0.328125,-1.785152380762156e-05,0.02706318162381649,0.328125,12.124405938703054,0.0022050964180380106,4.245438575744629,1.245438575744629,0.07861328125,0.111328125,0.1533203125,1010,0.024080276489257812,8,0.00019073486328125,0,0.0,0.002583661349490285,5.55818132852437e-07,190974,4.55317497253418,0.046875,0.0001742444874253124,2763851,65.89534282684326,64,65536,0.009978372603654861,0.046875,9.187158866552636e-06,658298,15.695047378540039,313.49190882113993,18.96609060061845,50.20029544830322
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,model.layers.4.self_attn.q_proj.weight,2048,2048,4194304,-0.3203125,0.322265625,8.574179446441121e-06,0.026049179956316948,0.322265625,12.371430714533888,0.0003006748156622052,4.201834201812744,1.2018342018127441,0.07421875,0.1044921875,0.15234375,963,0.02295970916748047,24,0.00057220458984375,0,0.0,0.0025375245604664087,5.364373691918445e-07,190930,4.552125930786133,0.0460379458963871,0.0001686888572294265,2773411,66.12327098846436,64,65536,0.009704571217298508,0.0460379458963871,8.605029506725259e-06,662981,15.8066987991333,314.4614206940136,19.60351874419347,50.316572189331055
TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,model.layers.5.self_attn.q_proj.weight,2048,2048,4194304,-0.234375,0.287109375,-2.1623069187626243e-05,0.027067216113209724,0.287109375,10.60727389913885,0.0010536120971664786,3.955660581588745,0.9556605815887451,0.0771484375,0.107421875,0.1416015625,607,0.014472007751464844,2,4.76837158203125e-05,0,0.0,0.0022607038263231516,4.2627362972780247e-07,166250,3.9637088775634766,0.041015625,0.0001356566499453038,2499896,59.60216522216797,64,65536,0.009961308911442757,0.041015625,8.999358215078246e-06,654433,15.602898597717285,318.23842828825116,15.074036026037254,43.999266624450684
TinyLlama/TinyLlama-1.1B-Chat-v1.0,6,model.layers.6.self_attn.q_proj.weight,2048,2048,4194304,-0.333984375,0.32421875,9.297318683820777e-06,0.02633778192102909,0.333984375,12.68080873330241,0.002547575393691659,4.74592924118042,1.74592924118042,0.07861328125,0.1142578125,0.1611328125,1570,0.03743171691894531,16,0.0003814697265625,0,0.0,0.002629798138514161,5.764541697317327e-07,214415,5.112051963806152,0.0477120541036129,0.00017368016415275633,2893067,68.97609233856201,64,65536,0.009585623629391193,0.0477120541036129,8.763096957409289e-06,662095,15.785574913024902,301.2904984859121,19.819495892477597,53.19051742553711
TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,model.layers.7.self_attn.q_proj.weight,2048,2048,4194304,-0.48046875,0.5703125,-2.0864459656877443e-05,0.026581337675452232,0.5703125,21.455372448267774,0.002894144970923662,7.594993591308594,4.594993591308594,0.08154296875,0.1376953125,0.228515625,4891,0.11661052703857422,199,0.004744529724121094,3,7.152557373046875e-05,0.004490649793297052,1.6791610732980189e-06,358585,8.549332618713379,0.0814732164144516,0.00038701508310623467,3733442,89.01219367980957,64,65536,0.009448511525988579,0.0814732164144516,9.027024134411477e-06,647810,15.44499397277832,230.48121425665454,42.87294210623781,73.56719970703125
TinyLlama/TinyLlama-1.1B-Chat-v1.0,8,model.layers.8.self_attn.q_proj.weight,2048,2048,4194304,-0.3984375,0.453125,-3.220986036467366e-05,0.02727973274886608,0.453125,16.610316683503243,-0.003863636404275894,4.896101951599121,1.896101951599121,0.08203125,0.1171875,0.1669921875,1406,0.03352165222167969,38,0.0009059906005859375,0,0.0,0.0035679133143275976,1.060177737599588e-06,298000,7.1048736572265625,0.0647321417927742,0.00028561934595927596,3339435,79.61833477020264,64,65536,0.010011749342083931,0.0647321417927742,9.644063538871706e-06,690680,16.46709442138672,269.4070398101019,29.616078824869668,63.15124034881592
TinyLlama/TinyLlama-1.1B-Chat-v1.0,9,model.layers.9.self_attn.q_proj.weight,2048,2048,4194304,-0.390625,0.345703125,3.7268700907588936e-06,0.026592902839183807,0.390625,14.689069574774903,-2.427829895168543e-05,4.389422416687012,1.3894224166870117,0.0771484375,0.11083984375,0.1552734375,1164,0.027751922607421875,16,0.0003814697265625,0,0.0,0.0030757873319089413,7.879735903770779e-07,227118,5.414915084838867,0.0558035708963871,0.00023803026124369353,3107176,74.08084869384766,64,65536,0.009721823036670685,0.0558035708963871,8.74702527653426e-06,647538,15.438508987426758,302.0789835478956,27.212709889184833,58.6423397064209
